i,ciphertext_hex,elapsed_us
50,0x2a9ec8ecf7f9ea02363aa2a18e961fb26a7672861e3799afe50a51a4576cbfde0d8487a9f1099ca425e3f30c33063b64e8ee482a59c09ba8213d8f49d09f8e61a405f51c19c730fd08feb3e1dd4a7e444e945303a903e2cf2fe0826fb917d248a56558c1e0a28d83321d93ba1dc41c7ad96b20176f7bf6c75b1befc8c25e088,16268.64
51,0xa27c94264c31654ca77cbd8f52deddbc65f3fa0978def59040be2fa1fe60d6142b3b2fff32f3c635ffe8b3817ee343f8252e48f4176c4056a44772e43f6b3046f2b265db1e49dca90a32e7472d96eac63cf245597113c9b092a015b884741624d4d8d3dee0628e9d40455c2b90d9252515eb75f0f834d31114123571b38b10f9,16994.99
52,0xaaf60785e40520e98e8e0a7ed5d3c7db9cf7fae11a6b4d109a867d759dfefcf9fb25f728f28ba4f40f35a8e40bca99cadedcaf04aac60433243756ff0408792f66fcf117ccef5de985dd78e0ab16303fcf8a429ca96c689551aa72928de3d580d00d6612ac33e7367219d4f4cc0b0ad62ec497a4e3448052a6c348df42a0c04c,15952.53
53,0xa65f8a91d224179a496b80306f89551c26db5a863bf0bceffe0d97b057ba9e760ae3790a959b0f726936d6a26623447fd4394aceac65926357672b6c84e0ac7a4417312aba4e22148c72961791f01b7fb08a46fc67f91de51af1bfbf816a7177533e415c92603fb4e7890a55ea12a4d888cef1ac2b6c0d1bf3bb69415d6215cf,17012.06
54,0xafefef4e385ca084cd72b7d207c0848784616f55dea97401ed8f96823ff089d5f9f91b3db0f385a5d4d2f1fe15278b1e58b5c91c1107e68657b0f630220458dcc628d71bb5cc84794e2ae3cd637e06d7c81c16defc3d573ce2e0e7aa1420a1b6d7129aad89591a2f81029ddb16fb07df8c9aa5ddea6577138e1b46fc998e12fb,16720.81
55,0x6328705d7c4befbb431af5732bb84b93dbed3fb4579169e85f60ae109ee06c8877061a622722b5d8baf006b1b4587446047894c93ebec8d517d9b9145047547c3424177595dcb25e1683fdca426d415360441c300794dde1c868a05cf8865dc8d7c0d549e276cab79d58cebfc10f5bfb63a93097663cf75cc8a714334da41e57,16834.96
56,0x71ef321529d839db61c35d9fa05a6cc2557d6eff4aedccccd5a7b0e2dacf44644e7298760c48d4e706d4c3da19ec97a1318c43d4d82d5250faa68bb6c58d4f1111724da1cf9fde9da608f6a753236e732bd6781f3041081820ff1e6981052a3fd6fdef0a540bc79dbe8f474ad0a1bf7cdb8fb4d65ec331b842c8502d1c4414e4,16291.24
57,0x445dcd1d186888d8e0f06c27d60266dacc98534abb42c8b34bba96df878ff3265ba9f6b164993a97b1870805f676e15f0582422a3caef2bc3abf611fdaed0784eb2696be01bcd4530231c307e6c7202136c8c72d203331f75218002866995b2d02f7655b2e3359bdbc8cf9ab82d8ef686d9d80d23cc795dc26f64d395827ec98,15783.55
58,0x7a4324e889bf8bd7ff3500769f176cb81a8a65f970c0aa77655bb002f5854f2380d90ad6ebb1ac4aea80c8555c595ed1d77ad557eff477ea800db6526a18a45a58d9d4cffb57ef40379871bb57f3c1f55b335c7d02a599554729a106ffa1c1839e085552b26f26c655760b548341ff467be98531c5a0291b77f6afdb5eb0e1d3,16837.4
59,0x9b2a4d906f50d12ddf6ecb0762711de34fe12416694eccc64f5cc34de05f2b5726c5c98f44b76d8c6157fc627efd9b2f88786d4124ef97a7ffdb3b9adc083bb7edbe0969b031e71b66e8b765b4a218d6f19523c5f86fe6fbee699f2abd21bb9f65f6da5ba9056c8af6764a7ed99ffde037aba3501f9524c5ebf6130663842269,15911.73
